ID,SMILES
CP00119,CCC(C)C1NC(=O)CNC(=O)C2Cc3c([nH]c4cc(OC)ccc34)S(=O)CC(NC(=O)CNC1=O)C(=O)NC(CC(N)=O)C(=O)N1CC(O)CC1C(=O)NC(C(C)C(O)CO)C(=O)N2
CP00120,CCC(C)C1NC(=O)CNC(=O)C2Cc3c([nH]c4cc(OC)ccc34)S(=O)CC(NC(=O)CNC1=O)C(=O)NC(CC(N)=O)C(=O)N1CC(O)CC1C(=O)NC(C(C)CO)C(=O)N2
CP00121,CC[C@H](C)[C@H]1NC(=O)[C@@H](Cc2ccc(OC)cc2)NC(=O)[C@H](CCCCCC(=O)[C@@H]2CO2)NC(=O)[C@@H]2CCCCN2C1=O
CP00122,C=C1NC(=O)[C@H](CCCc2ccccc2)NC(=O)[C@H](C(C)C)OC(=O)[C@H](C)NC1=O
CP00123,C=C1NC(=O)[C@H](CCCc2ccc(O)cc2)NC(=O)[C@H](C(C)C)OC(=O)[C@@H](C)NC1=O
CP00124,CCCC[C@@H](C)[C@@H](O)C1C(=O)N[C@@H](C(C)C)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
CP00125,CC(C)CC1C(=O)OC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)OC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)OC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)OC(C(C)C)C(=O)N1C
CP00126,CC[C@H](C)[C@@H]1NC(=O)c2csc(n2)[C@@H](C(C)C)NC(=O)[C@H]2N=C(O[C@@H]2C)[C@H]([C@@H](C)CC)NC(=O)c2csc(n2)[C@@H](C(C)C)NC(=O)[C@H]2N=C1O[C@@H]2C
CP00127,NC(=O)[C@@H](O)[C@@H]1NC(=O)[C@@H](N)Cc2ccc(O)c(c2)Oc2ccc(cc2)C[C@@H](C(=O)O)NC1=O
CP00130,CC[C@H](C)C1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCCN)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCN=C(N)N)NC1=O
CP00131,CCC(C)C1NC(=O)C(CCCN=C(N)N)NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(N)CCCN=C(N)N)CSSCC(C(=O)NC(CCCN=C(N)N)C(=O)O)NC(=O)C(C(C)C)NC(=O)C(CCCN=C(N)N)NC(=O)C(C(C)CC)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC1=O
